GlobalRnd   ClientID  LocEpoch    Accuracy    LR          Loss        GradNorm    
1           0         1           97.2600     0.154237    0.238033    1.972390    
2           0         1           98.0600     0.199583    0.088290    1.204476    
3           0         1           98.2800     0.224295    0.064204    0.986615    
4           0         1           97.4600     0.230014    0.052043    0.903326    
5           0         1           98.5000     0.217271    0.044377    0.853949    
6           0         1           98.6400     0.249138    0.042084    0.781817    
7           0         1           98.5500     0.242404    0.038557    0.793810    
8           0         1           98.8700     0.303193    0.035267    0.757871    
9           0         1           98.9700     0.304962    0.034873    0.753867    
10          0         1           98.5500     0.280276    0.029504    0.721076    
